,domain,bundle,demand_side_revenue,auctions,week,weekCount
353,fun-stuff-to-do.com,,0.006112852,35,12,1
354,chistestiempo.tk,,0.006112852,19,12,1
355,Supergoku.com,,0.006112852,431,12,1
356,riddleden.com,,0.006112852,28,12,1
357,appbazzar.com,,0.006112852,113,12,1
358,artv.info,,0.006112852,10,12,1
359,thatbackpacker.com,,0.006112852,6,12,1
360,dwatchseries.io,,0.006112852,791,12,1
361,gluten-free-bread.org,,0.006112852,3,12,1
362,bendecidosporunpacto.com,,0.005972245,13,12,1
363,charterschool.org,,0.005968254,1,12,1
364,diariodelviajero.com,,0.005956625500000001,86,12,1
365,mymarketresearchmethods.com,,0.0059407415,21,12,1
366,pokemonclicker.com,,0.0059407415,2,12,1
367,learning-theories.com,,0.0059407415,42,12,1
368,wrcbtv.com,,0.0059407415,57,12,1
369,top15.network,,0.0059407415,396,12,1
370,thenourishinghome.com,,0.0059407415,10,12,1
371,sugarfreemom.com,,0.0059407415,5,12,1
372,cyzowoman.com,,0.0059407415,169,12,1
373,strangecosmos.com,,0.0059407415,51,12,1
374,10worthy.com,,0.0059407415,5,12,1
375,howcast.com,,0.0059407415,1,12,1
376,www.enstarz.com,,0.0059407415,3,12,1
377,thesimplelens.com,,0.0059407415,10,12,1
378,www.proprofs.com,,0.0059407415,2,12,1
379,cinemassacre.com,,0.0059407415,53,12,1
380,turtle-soup.com,,0.0059407415,4,12,1
381,kztv10.com,,0.0059407415,23,12,1
382,diyphotography.net,,0.0059407415,253,12,1
383,myheritage.fr,,0.0059407415,12,12,1
384,countdowntopregnancy.com,,0.0059407415,38,12,1
385,huntinglife.com,,0.0059407415,30,12,1
386,dividend-growth-stocks.com,,0.0059407415,4,12,1
387,eldair.com,,0.0059407415,3,12,1
388,www.yellowpages.com,,0.0059407415,13,12,1
389,tiegether.com,,0.0059407415,8,12,1
390,cookinglsl.com,,0.0059407415,7,12,1
391,nonpareilonline.com,,0.0059407415,13,12,1
392,Philly.com App,,0.0057768264,24,12,1
393,"Univision_Deportes_Univision_Deportas_Sports_Homepage_Homepage_iOS_MEDIUMRECTANGLE_300x250_IAB1,IAB17",,0.005735397299999999,887,12,1
394,indierapblog.com,,0.0056500744999999995,4,12,1
395,deguate.com.gt,,0.0055703707,7,12,1
396,sciemce.com,,0.0055703707,11,12,1
397,complexsql.com,,0.0055703707,61,12,1
398,ilabornetwork.com,,0.0055703707,1903,12,1
399,bonusbitcoin.co,,0.0055703707,1608,12,1
400,MLB Tap Sports Baseball 2017 (iOS),,0.005295566,26,12,1
401,Imgur,,0.005295566,2629,12,1
402,http://mopub2_3.gq4tknjygm3tcny.com,,0.005295566,256,12,1
403,turbodieselregister.com,,0.005295,1,12,1
404,nerdheist.com,,0.0052420754,58,12,1
405,i95rock.com,,0.0052420754,3,12,1
406,realityblurb.com,,0.0052420754,36,12,1
407,punpedia.org,,0.0052420754,138,12,1
408,trbdevcloud.com,,0.0052420754,2,12,1
409,daikhlo.com,,0.0052420754,1108,12,1
410,thecentsableshoppin.com,,0.005213903400000001,11,12,1
411,filtersfast.com,,0.0052000003,11,12,1
412,leafly.com,,0.0052000003,7,12,1
413,easyrecipesly.com,,0.0052000003,3,12,1
414,wasabisyrup.com,,0.0050649347,3051,12,1
415,Numfeud - A Multiplayer Brain Teaser Puzzle Game,,0.0049539165,6,12,1
416,CNN: Breaking US,,0.0049539165,6868,12,1
417,mangakrub.com,,0.0043434343,22337,12,1
418,921765888,,0.0043328104,161,12,1
419,restomods.com,,0.004091837,2,12,1
420,coolworkideas.com,,0.004091837,1,12,1
421,http://rubicon2.gqzdomjvg44tomi.com,,0.0039403455,8,12,1
422,hi keyboard - 52b775e682954cafbae3ca438e17d400,,0.0033080971,266,12,1
423,hi keyboard - 2c224272b0234725b7abe3fcfc38582e,,0.0031397,143,12,1
424,worldoftales.com,,0.0,2,12,1
425,fun.com,,0.0,3,12,1
426,osettlers.com,,0.0,2,12,1
427,Pet Vet Doctor Cats,,0.0,1,12,1
428,parentingexperttomom.com,,0.0,1,12,1
429,dfa.ie,,0.0,2,12,1
430,schoolnutritionandfitness.com,,0.0,2,12,1
431,geinojohonews.com,,0.0,2,12,1
432,fordfansreviews.com,,0.0,3,12,1
433,autocatch.com,,0.0,7,12,1
434,quick-jobs.com,,0.0,1,12,1
435,lazada.co.id,,0.0,1,12,1
436,instagrammi.ru,,0.0,17,12,1
437,http%3A%2F%2Fbrooksrunning.co,,0.0,1,12,1
438,bcit.ca,,0.0,1,12,1
439,4djmusic.com,,0.0,1,12,1
440,basketball-reference.co,,0.0,1,12,1
441,lamodaentucabello.blogspot.com.es,,0.0,7,12,1
442,capy.com,,0.0,1,12,1
443,http://lastampa.it,,0.0,1,12,1
444,my-little-poppies.com,,0.0,4,12,1
445,fmw11.us,,0.0,1,12,1
446,dccnews.ml,,0.0,1,12,1
447,startscreen.ru,,0.0,2,12,1
448,receptidomacice.com,,0.0,2,12,1
449,lugarcerto.com.br,,0.0,1,12,1
450,seadoosportboats.com,,0.0,1,12,1
451,mapskins.com,,0.0,2,12,1
452,reishonger.nl,,0.0,1,12,1
453,telemundo51.com,,0.0,5,12,1
454,http://openx2.hezdkmbrgyzdina.com,,0.0,1,12,1
455,http://mopub2_3.geydgnbsgm3demrr.com,,0.0,10,12,1
456,kalusugantrends.com,,0.0,1,12,1
457,starity.hu,,0.0,2,12,1
458,El Genio Lucas,,0.0,7,12,1
459,sigueme.net,,0.0,2,12,1
460,diredonna.it,,0.0,3,12,1
461,lcps.org,,0.0,1,12,1
462,contactmusic.net,,0.0,1,12,1
463,rockurlife.net,,0.0,1,12,1
464,ergo.nu,,0.0,2,12,1
465,comicbookrealm.com,,0.0,2,12,1
466,aqaliliazizan.com,,0.0,5,12,1
